car name,brand,year,mileage (km),location,transmission,plate type,rear camera,sun roof,auto retract mirror,electric parking brake,map navigator,vehicle stability control,keyless push start,sports mode,360 camera view,power sliding door,auto cruise control,price (Rp),instalment (Rp|Monthly)
CITY RS HATCHBACK 1.5,Honda,2021,25.16,Bogor,Manual,odd plate,0,0,1,0,0,0,0,0,0,0,1,246000000,5010000
XPANDER ULTIMATE 1.5,Mitsubishi,2017,53.266,Bekasi,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,201000000,4099999
XL7 ALPHA 1.5,Suzuki,2020,51.694,Jakarta Utara,Automatic,odd plate,0,0,1,0,0,1,0,0,0,0,0,210000000,4280000
AYLA X 1.0,Daihatsu,2020,56.96,Jakarta Utara,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,100000000,2040000
BRIO SATYA E 1.2,Honda,2019,48.434,Bekasi,Automatic,odd plate,0,0,0,0,0,0,0,1,0,0,0,156000000,3180000
MOBILIO E 1.5,Honda,2019,52.561,Bandung,Automatic,even plate,1,0,0,0,0,0,0,1,0,0,0,172000000,3500000
YARIS G 1.5,Toyota,2019,65.003,Jakarta Barat,Automatic,even plate,0,0,0,0,0,1,0,1,0,0,0,191000000,3890000
RUSH S TRD SPORTIVO 1.5,Toyota,2019,74.934,Bekasi,Automatic,even plate,0,0,1,0,0,0,1,0,0,0,0,212000000,4320000
MOBILIO E 1.5,Honda,2016,82.35,Bogor,Automatic,even plate,1,0,0,0,0,0,0,1,0,0,0,145000000,2950000
RUSH S 1.5,Toyota,2018,86.251,Bekasi,Manual,odd plate,0,0,1,0,0,1,0,0,0,0,0,201000000,4099999
HR-V E 1.5,Honda,2018,41.32,Jakarta Utara,Automatic,even plate,0,0,1,1,0,0,0,0,0,0,0,232000000,4730000
XENIA X 1.3,Daihatsu,2020,36.205,Bandung,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,163000000,3320000
RUSH S GR SPORT 1.5,Toyota,2021,58.598,Jakarta Selatan,Automatic,odd plate,1,0,1,0,0,0,0,0,0,0,0,239000000,4870000
CR-V 2.0,Honda,2017,104.079,Bogor,Automatic,odd plate,0,0,1,0,0,0,0,0,0,0,0,248000000,5050000
